product_name,product_description,product_rating,product_price,regular_price,product_url
Eveline Cosmetics Biohyaluron,"krem do twarzy 60+ na dzień i noc, 50 ml",(6),16.19,25.99,/eveline-cosmetics-krem-do-twarzy-60-na-dzien-i-noc-50-ml-000000000000406808.html
Dermedic Oilage,"naprawczy krem przywracający gęstość skóry na noc 40+, 50 g",(29),69.99,69.99,/dermedic-krem-do-twarzy-na-noc-50g-000000000000307086.html
Miya Cosmetics Secret Glow,"rozświetlający krem do twarzy z witaminami, 30 ml",(50),38.99,38.99,/miya-cosmetics-rozswietlajacy-krem-do-twarzy-z-witaminami-30-ml-000000000000352409.html
Cetaphil MD Dermoprotektor,"balsam nawilżający do twarzy i ciała, 250 ml",(47),58.99,58.99,/cetaphil-balsam-do-twarzy-ciala-250ml-000000000000225490.html
Bandi Juicy Power,"nawilżający booster w kremie do twarzy, 40 ml",(1),49.99,49.99,/bandi-nawilzajacy-booster-w-kremie-do-twarzy-40-ml-000000000000447785.html
Ava Aktywator Młodości,"zaawansowany lifting 100% pielęgnacji skóry ze zmarszczkami, 15 ml",(20),27.99,27.99,/ava-zaawansowany-lifting-100-pielegnacji-skory-ze-zmarszczkami-15-ml-000000000000296409.html
Pharmaceris A Vita-Sensilium,"lekki krem głęboko nawilżający SPF20 do twarzy, 50 ml",(13),58.99,58.99,/pharmaceris-lekki-krem-gleboko-nawilzajacy-spf20-do-twarzy-50-ml-000000000000225413.html
Eveline Cosmetics Biohyaluron,"krem do twarzy 50+ na dzień i noc, 50 ml",(15),16.19,25.99,/eveline-cosmetics-krem-do-twarzy-50-na-dzien-i-noc-50-ml-000000000000406807.html
Lirene C+E,"rewitalizujący krem do twarzy, 50 ml",(5),28.99,28.99,/lirene-rewitalizujacy-krem-do-twarzy-50-ml-000000000000424325.html
Bandi Juicy Power,"odżywczy booster w kremie do twarzy, 40 ml",(2),49.99,49.99,/bandi-odzywczy-booster-w-kremie-do-twarzy-40-ml-000000000000450418.html
Ziaja med,"nawilżający lano-krem do twarzy na dzień i noc, 50 ml",(9),19.99,19.99,/ziaja-med-nawilzajacy-lano-krem-do-twarzy-na-dzien-i-noc-50-ml-000000000000249889.html
La Roche-Posay Toleriane Sensitive,"krem nawilżający dla skóry wrażliwej o lekkiej konsystencji, 40 ml",(16),79.99,79.99,/la-roche-posay-krem-nawilzajacy-dla-skory-wrazliwej-o-lekkiej-konsystencji-40-ml-000000000000359781.html
Clarena Sensitive Line,"krem do twarzy z filtrem SPF50, 100 ml",,89.0,129.0,/clarena-krem-do-twarzy-z-filtrem-spf50-100-ml-46057887.html
